"Time [ns]","Distance [mm]","By [T]"
60000000,0,8.19200105692241e-06
60000000,0.525004,6.94558423723882e-06
60000000,1.050008,5.6941121367197e-06
60000000,1.575012,4.44264003620058e-06
60000000,2.100016,3.19358103095016e-06
60000000,2.62502,1.926861452726e-06
60000000,3.150024,6.601418745017e-07
60000000,3.675028,-6.1329362258162e-07
60000000,4.200032,-1.90333484481561e-06
60000000,4.725036,-3.19337606704988e-06
60000000,5.25004,-4.48341728928401e-06
60000000,5.775044,-5.79755809583599e-06
60000000,6.300048,-7.12310629751318e-06
60000000,6.825052,-8.4486544991901e-06
60000000,7.350056,-9.7848104304246e-06
60000000,7.87506,-1.1153059495927e-05
60000000,8.400064,-1.25213085614293e-05
60000000,8.925068,-1.38895576269317e-05
60000000,9.450072,-1.52870235399342e-05
60000000,9.975076,-1.66970373935377e-05
60000000,10.50008,-1.81070512471413e-05
60000000,11.025084,-1.9571195948771e-05
60000000,11.550088,-2.10346461294453e-05
60000000,12.075092,-2.25308118802657e-05
60000000,12.600096,-2.40462999856984e-05
60000000,13.1251,-2.55617880911311e-05
60000000,13.650104,-2.71120705822761e-05
60000000,14.175108,-2.86867834358354e-05
60000000,14.700112,-3.02614962893945e-05
60000000,15.225116,-3.18252187221638e-05
60000000,15.75012,-3.34574261626684e-05
60000000,16.275124,-3.50788206348142e-05
60000000,16.800128,-3.67717168059835e-05
60000000,17.325132,-3.84646129771527e-05
60000000,17.850136,-4.02122621845615e-05
60000000,18.37514,-4.19641169252165e-05
60000000,18.900144,-4.37993433163823e-05
60000000,19.425148,-4.56353105083069e-05
60000000,19.950152,-4.74712777002314e-05
60000000,20.475156,-4.94676213033157e-05
60000000,21.00016,-5.13966179310616e-05
60000000,21.525164,-5.34729305757837e-05
60000000,22.050168,-5.55074670355872e-05
60000000,22.575172,-5.75420034953906e-05
60000000,23.100176,-5.96672850829686e-05
60000000,23.62518,-6.18150805554787e-05
60000000,24.150184,-6.37163066022497e-05
60000000,24.675188,-6.60154579057868e-05
60000000,25.200192,-6.83146092093236e-05
60000000,25.725196,-7.06137605128606e-05
60000000,26.2502,-7.29129118163977e-05
60000000,26.775204,-7.49450240022628e-05
60000000,27.300208,-7.75068603543725e-05
60000000,27.825212,-8.00686967064821e-05
60000000,28.350216,-8.26305330585919e-05
60000000,28.87522,-8.51923694107017e-05
60000000,29.400224,-8.77542057628114e-05
60000000,29.925228,-9.0549944779208e-05
60000000,30.450232,-9.33892058222634e-05
60000000,30.975236,-9.62284668653188e-05
60000000,31.50024,-9.90677279083743e-05
60000000,32.025244,-0.00010190698895143
60000000,32.550248,-0.000105351147658198
60000000,33.075252,-0.000108561395185302
60000000,33.600256,-0.000111771642712407
60000000,34.12526,-0.000114981890239512
60000000,34.650264,-0.000118192137766616
60000000,35.175268,-0.00012187801780325
60000000,35.700272,-0.000125416663231486
60000000,36.225276,-0.000128955308659722
60000000,36.75028,-0.000132493954087959
60000000,37.275284,-0.000136032599516195
60000000,37.800288,-0.000139284941250848
60000000,38.325292,-0.000143260452377341
60000000,38.850296,-0.000147235963503834
