"Time [ms]","Fx [N]","Fy [N]"
0,0.00843488439126617,-120.38410824766
0.5,19.3844082460559,-117.982803331608
1,32.4459334972121,-111.904717923288
1.5,40.031692327053,-103.378712387666
2,43.39661932227,-93.5598562061676
2.5,43.8131379349873,-83.1690657910763
3,42.4044675426105,-72.6191925720798
3.5,40.0746156951909,-62.2932293762214
4,37.4929620196364,-52.7460644282744
4.5,35.1105248769333,-44.7173346781221
5,33.1926383909093,-38.9573449445309
5.5,31.8578388211724,-35.9568924345235
6,31.1165592512802,-35.7127212983435
6.5,30.9060222311032,-37.6442905978729
7,31.1196594998195,-40.7145594164108
7.5,31.6306360066386,-43.7237851569888
8,32.3097722124131,-45.6739752026266
8.5,33.0384950025983,-46.0703550085115
9,33.7175380741306,-45.0470672977876
9.5,34.2720701156949,-43.2692403105352
10,34.6538397311427,-41.6475811623551
10.5,34.8408465982885,-40.9724732318587
11,34.8350059664111,-41.604951094232
11.5,34.6582697281157,-43.3401356610209
12,34.3476854390606,-45.4929494237673
12.5,33.9498904690988,-47.1712407554703
13,33.5155299460029,-47.6301283185686
13.5,33.0940421600888,-46.5706446664353
14,32.7291744434865,-44.2673350219688
14.5,32.4554881759244,-41.4751022880961
15,32.2960010928575,-39.1502056695283
15.5,32.2610148475737,-38.0915908046648
16,32.3480953853732,-38.6394236584197
16.5,32.5431136724168,-40.5460860739544
17,32.8222079113233,-43.0692152710635
17.5,33.1544862149298,-45.2517109410349
18,33.5052445282284,-46.2823229679633
18.5,33.8394293689189,-45.799705576592
19,34.1250377965493,-44.02441712194
19.5,34.3361322167836,-41.6690148558561
20,34.4551690365712,-39.6610643642386
20.5,34.4744050240908,-38.7852227543745
21,34.3962497777724,-39.3813257122151
21.5,34.2325617247789,-41.2138704589742
22,34.0030152978808,-43.5626787387262
22.5,33.7327736367254,-45.4999175412831
23,33.4497653302137,-46.247376287076
23.5,33.1818775121337,-45.4771802626592
24,32.9543459942654,-43.4406980662223
24.5,32.7875612131367,-40.8760336454828
25,32.6954360850579,-38.7291085509016
25.5,32.6844154448402,-37.7946113909513
26,32.753155847126,-38.4137880378153
26.5,32.8928687453345,-40.3444336875081
27,33.0882914952131,-42.8527720766004
27.5,33.3192188673933,-44.9922448062152
28,33.5624858925434,-45.9629150888229
28.5,33.7942418284534,-45.4144506208908
29,33.9923045153642,-43.577227530802
29.5,34.1383498774705,-41.17174859032
30,34.2196884102181,-39.1312190191905
30.5,34.2304184537223,-38.2434425278934
31,34.1718234083829,-38.8489527792364
31.5,34.0519837430546,-40.7107416374821
32,33.8846833824208,-43.1053256599456
32.5,33.6877806567257,-45.1002781225324
33,33.4812685064808,-45.9120716480403
33.5,33.2852596722293,-45.2073586772576
34,33.118104981313,-43.2324000130201
34.5,32.9948010140349,-40.72099272493
35,32.9257857171924,-38.615874316709
35.5,32.9161724289324,-37.7098633521201
36,32.9654417899146,-38.3437055709946
36.5,33.0675949394235,-40.2759937306056
37,33.2117605830903,-42.7748637681598
37.5,33.3832311123409,-44.8965155107655
38,33.5648709425731,-45.8442928391601
38.5,33.7387938754276,-45.2713209948135
39,33.8881550808775,-43.4112754328108
39.5,33.998863036543,-40.9875046224376
40,34.0610037623747,-38.9353738230696
40.5,34.0697943255777,-38.044008980157
41,34.0259447141426,-38.6543642442817
41.5,33.9353951853845,-40.5289743990584
42,33.8084902321707,-42.943125672368
42.5,33.6587284899708,-44.96255751023
43,33.5012733293016,-45.8015206317872
43.5,33.3514148603784,-45.1242958671724
44,33.223145749586,-43.1748604938044
44.5,33.127964961156,-40.6850312381591
45,33.0739731402092,-38.5960420563567
45.5,33.0652855320063,-37.6998029752905
46,33.1017695389386,-38.3368010113197
46.5,33.1791108549407,-40.2660097246611
47,33.2892137178,-42.7565145014286
47.5,33.4209341893633,-44.8659117341775
48,33.5611215531175,-45.7992310052603
48.5,33.6959014886054,-45.2113948797378
49,33.8120847896647,-43.3378086294219
49.5,33.89854283145,-40.9033194787286
50,33.9473723980131,-38.8444272726539
50.5,33.9546888620169,-37.9509369716004
51,33.9209387684051,-38.5639832245956
51.5,33.8507000119971,-40.445790111004
52,33.7520212035777,-42.8708964393525
52.5,33.635420598083,-44.9039517215349
53,33.5127030554634,-45.7578972128875
53.5,33.3957548670465,-45.0956233234775
54,33.2954463921127,-43.1597760143291
54.5,33.2207257183519,-40.6810277293095
55,33.1779405955312,-38.5997591304935
55.5,33.1703948787041,-37.707388905292
56,33.1981353951295,-38.3443072261859
56.5,33.257971272332,-40.2697779332516
57,33.3437385622365,-42.7535189679569
57.5,33.4468246055077,-44.8540251902726
58,33.5569492883773,-45.7773914467979
58.5,33.6631631605788,-45.179661099579
59,33.7549741152377,-43.297303679014
59.5,33.8234706910263,-40.8560722048944
60,33.8622878589108,-38.7931315963346
