"Time [ms]","Fx [N]","Fy [N]"
0,0.0101951637870933,-275.069429279439
0.5,33.8469198357666,-271.333144035573
1,60.5351512860603,-260.605470944427
1.5,78.5902661806231,-243.356923968566
2,88.1526946109814,-220.934084802472
2.5,90.2564893118199,-194.776667627317
3,86.4455634538468,-166.121483684456
3.5,78.4945270442816,-136.088771894022
4,68.1872682337909,-105.939425660146
4.5,57.1473080290786,-77.2733437260308
5,46.7198162878904,-52.003977884355
5.5,37.9034028765536,-32.0659073973416
6,31.3269317009742,-18.9443650261069
6.5,27.2642169009666,-13.2074912484334
7,25.6779128770092,-14.23858549158
7.5,26.2832418596756,-20.3006876253887
8,28.6223389948332,-28.9447974319458
8.5,32.1408036587311,-37.6429493040183
9,36.2593637240658,-44.438873328086
9.5,40.4352094278114,-48.3969565498316
10,44.2093586508914,-49.700318744872
10.5,47.2382125684158,-49.3752311307539
11,49.3091105204396,-48.7543719069912
11.5,50.341088149059,-48.8844997922652
12,50.3731123258033,-50.099914945833
12.5,49.5427765953724,-51.9157729987341
13,48.0587931468145,-53.2706908598143
13.5,46.1706422648144,-53.0136512834859
14,44.1384896816452,-50.4371331534757
14.5,42.2060205925141,-45.6419589739646
15,40.5782348358836,-39.5855457564017
15.5,39.4055669444502,-33.7884938092002
16,38.7749967444676,-29.8074052092275
16.5,38.7081514276933,-28.6734783356201
17,39.1658099035014,-30.5115927470105
17.5,40.0577373791553,-34.4873659543932
18,41.256426667886,-39.1056435927708
18.5,42.6131179987678,-42.7504286893235
19,43.9744165520621,-44.2643593272018
19.5,45.1979210138983,-43.3506582197715
20,46.1655000610994,-40.6478739174261
20.5,46.7931790896452,-37.452051691734
21,47.0369907453081,-35.1948149129808
21.5,46.8945597454311,-34.8781673227158
22,46.4025954479821,-36.6824549038803
22.5,45.630819974079,-39.8969513224602
23,44.6731390853721,-43.198589389038
23.5,43.637051020118,-45.1708331421476
24,42.6323783809263,-44.8625973688644
24.5,41.7604014648708,-42.1716558445598
25,41.1043759100833,-37.9040369135998
25.5,40.72224549779,-33.4848521603755
26,40.6421281827448,-30.4294673067778
26.5,40.8608788896812,-29.7758880012936
27,41.345738400255,-31.6945276706205
27.5,42.0387885679201,-35.4242645816962
28,42.863676301463,-39.559530179478
28.5,43.7338672923155,-42.579490847405
29,44.561565934475,-43.4182225563822
29.5,45.2664030857446,-41.8593157369316
30,45.7830506883191,-38.6054829698941
30.5,46.0670630636251,-34.9978329724415
31,46.09845021324,-32.4931341240921
31.5,45.8827330959136,-32.099586403663
32,45.4494863065999,-33.9871635133788
32.5,44.8486131096987,-37.4215712343267
33,44.1447995284261,-41.0469234168454
33.5,43.4107430189792,-43.4087362813254
34,42.7198388881961,-43.5168033928492
34.5,42.1390316244644,-41.2321125180058
35,41.7225006624879,-37.3290955543765
35.5,41.5067559500293,-33.208525098975
36,41.5075759275933,-30.3699078036383
36.5,41.7190400559119,-29.844255603096
37,42.1147041991157,-31.8034691161014
37.5,42.6507579175,-35.4953553150749
38,43.2708085905132,-39.5291718715268
38.5,43.9117792932386,-42.4029327380931
39,44.5103038750128,-43.071555340647
39.5,45.0089661910839,-41.3394629480356
40,45.3617648644045,-37.928374295514
40.5,45.5382847160469,-34.195076346123
41,45.5262068845093,-31.6076008079863
41.5,45.3319714808016,-31.1803805015965
42,44.979596970671,-33.084462466289
42.5,44.5078384153935,-36.5817981418895
43,43.9660156725289,-40.3086498855092
43.5,43.4089518136086,-42.7996230037649
44,42.8915260626175,-43.0517739775587
44.5,42.4633635116512,-40.9128346511122
45,42.1641575007122,-37.144723208117
45.5,42.0200532712732,-33.1375464737259
46,42.041418121484,-30.3828548594902
46.5,42.2221905648488,-29.9069691191672
47,42.5408485433608,-31.8805822685558
47.5,42.9628775769646,-35.5536599204672
48,43.4444697640725,-39.5405629147297
48.5,43.9370608790352,-42.3466841629693
49,44.3922309616801,-42.9357567593137
49.5,44.7664646346686,-41.1215349043108
50,45.0252946778906,-37.6346703314931
50.5,45.1464317304875,-33.8396648753192
51,45.1216025653175,-31.2103911566434
51.5,44.9569623639061,-30.7648095168635
52,44.672094342697,-32.6749869732687
52.5,44.2977461905296,-36.201442781649
53,43.8725644857914,-39.9768403855755
53.5,43.4391681403507,-42.530494807821
54,43.0399472155129,-42.8530902665919
54.5,42.7129846429709,-40.7855822402859
55,42.4884774956252,-37.083386320277
55.5,42.3859839829734,-33.1309936257676
56,42.4127451184469,-30.4157190130604
56.5,42.5632299665583,-29.9613605785078
57,42.8199367891876,-31.9379506766132
57.5,43.1553587207953,-35.5966173987325
58,43.5349043189598,-39.5544943381334
58.5,43.9204646127891,-42.3210004690842
59,44.2742524228416,-42.8646893613783
59.5,44.5625163508808,-41.0044190253925
60,44.7587544472699,-37.4757172305338
