         4009390 function calls (3642899 primitive calls) in 10.219 seconds

   Ordered by: internal time
   List reduced from 1610 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    3.560    1.187    3.811    1.270 {built-in method exec_}
        1    1.967    1.967    1.972    1.972 {method 'mainloop' of '_tkinter.tkapp' objects}
   102000    0.660    0.000    0.739    0.000 D:\Projects\Coding\Python\MaSc1\LIM_Compute.py:306(__postEqn9)
        1    0.656    0.656    6.335    6.335 D:\Projects\Coding\Python\MaSc1\LIM_Compute.py:712(updateGrid)
   102000    0.388    0.000    0.467    0.000 D:\Projects\Coding\Python\MaSc1\LIM_Compute.py:298(__postEqn8)
    92700    0.344    0.000    0.365    0.000 D:\Projects\Coding\Python\MaSc1\LIM_Compute.py:709(__lambda_n)
      200    0.272    0.001    0.569    0.003 D:\Projects\Coding\Python\MaSc1\LIM_Compute.py:101(__mecHm)
      306    0.264    0.001    0.400    0.001 D:\Projects\Coding\Python\MaSc1\LIM_Compute.py:176(__mec)
    61200    0.247    0.000    0.273    0.000 D:\Projects\Coding\Python\MaSc1\LIM_Compute.py:354(__eqn23Integral)
  1147070    0.222    0.000    0.222    0.000 {built-in method cmath.exp}
539768/178902    0.107    0.000    0.222    0.000 C:\ProgramData\Anaconda3\envs\thesisGPU\lib\json\encoder.py:333(_iterencode_dict)
        3    0.088    0.029    0.088    0.029 {built-in method show}
    20400    0.084    0.000    0.104    0.000 D:\Projects\Coding\Python\MaSc1\LIM_Compute.py:345(__postEqn21)
        1    0.083    0.083    0.083    0.083 {built-in method _tkinter.create}
        3    0.077    0.026    0.083    0.028 C:\ProgramData\Anaconda3\envs\thesisGPU\lib\site-packages\matplotlib\backends\backend_qt5.py:653(__init__)
        1    0.066    0.066    0.074    0.074 C:\ProgramData\Anaconda3\envs\thesisGPU\lib\site-packages\scipy\linalg\decomp_lu.py:15(lu_factor)
   178901    0.059    0.000    0.143    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   178901    0.047    0.000    0.084    0.000 C:\ProgramData\Anaconda3\envs\thesisGPU\lib\encodings\cp1253.py:18(encode)
        1    0.046    0.046    0.437    0.437 C:\ProgramData\Anaconda3\envs\thesisGPU\lib\json\__init__.py:120(dump)
    83252    0.045    0.000    0.088    0.000 C:\ProgramData\Anaconda3\envs\thesisGPU\lib\json\encoder.py:277(_iterencode_list)
    44258    0.040    0.000    0.040    0.000 C:\ProgramData\Anaconda3\envs\thesisGPU\lib\json\encoder.py:223(floatstr)
    20400    0.038    0.000    0.056    0.000 D:\Projects\Coding\Python\MaSc1\LIM_Compute.py:331(__preEqn21)
      576    0.037    0.000    0.037    0.000 {built-in method nt._getfinalpathname}
   178901    0.037    0.000    0.037    0.000 {built-in method _codecs.charmap_encode}
