"Time [ns]","Distance [mm]","Bx [T]"
16000000,0,-1.58818919130748e-05
16000000,0.525004,-1.61140553166977e-05
16000000,1.050008,-1.63174838799863e-05
16000000,1.575012,-1.6520912443275e-05
16000000,2.100016,-1.67362796124918e-05
16000000,2.62502,-1.69572588753582e-05
16000000,3.150024,-1.71782381382247e-05
16000000,3.675028,-1.74687557535624e-05
16000000,4.200032,-1.77165458567631e-05
16000000,4.725036,-1.79643359599639e-05
16000000,5.25004,-1.82121260631647e-05
16000000,5.775044,-1.84689326289678e-05
16000000,6.300048,-1.8726362538934e-05
16000000,6.825052,-1.89837924489e-05
16000000,7.350056,-1.92848719403886e-05
16000000,7.87506,-1.95501255098756e-05
16000000,8.400064,-1.98153790793626e-05
16000000,8.925068,-2.00806326488496e-05
16000000,9.450072,-2.04508771066125e-05
16000000,9.975076,-2.07427859827378e-05
16000000,10.50008,-2.10346948588632e-05
16000000,11.025084,-2.13341164205627e-05
16000000,11.550088,-2.16348795386945e-05
16000000,12.075092,-2.19450144533234e-05
16000000,12.600096,-2.22564608875208e-05
16000000,13.1251,-2.25679073217182e-05
16000000,13.650104,-2.31023138128362e-05
16000000,14.175108,-2.34507097528311e-05
16000000,14.700112,-2.3799105692826e-05
16000000,15.225116,-2.41727722910307e-05
16000000,15.75012,-2.45310450520195e-05
16000000,16.275124,-2.49007168003439e-05
16000000,16.800128,-2.5272229865693e-05
16000000,17.325132,-2.56437429310422e-05
16000000,17.850136,-2.60251826792477e-05
16000000,18.37514,-2.64100870792861e-05
16000000,18.900144,-2.67951749072851e-05
16000000,19.425148,-2.71893400402851e-05
16000000,19.950152,-2.75835051732851e-05
16000000,20.475156,-2.79852746395849e-05
16000000,21.00016,-2.83875702320625e-05
16000000,21.525164,-2.88077166830366e-05
16000000,22.050168,-2.92221727030383e-05
16000000,22.575172,-2.963662872304e-05
16000000,23.100176,-3.06588328777232e-05
16000000,23.62518,-3.11145744478113e-05
16000000,24.150184,-3.12661647468418e-05
16000000,24.675188,-3.17716331891744e-05
16000000,25.200192,-3.22771016315069e-05
16000000,25.725196,-3.27825700738395e-05
16000000,26.2502,-3.32880385161721e-05
16000000,26.775204,-3.38195044326515e-05
16000000,27.300208,-3.43442895053983e-05
16000000,27.825212,-3.4869074578145e-05
16000000,28.350216,-3.53938596508918e-05
16000000,28.87522,-3.59186447236385e-05
16000000,29.400224,-3.64434297963853e-05
16000000,29.925228,-3.69933887640247e-05
16000000,30.450232,-3.75474510604122e-05
16000000,30.975236,-3.81015133567997e-05
16000000,31.50024,-3.86555756531872e-05
16000000,32.025244,-3.92096379495747e-05
16000000,32.550248,-3.97779093915632e-05
16000000,33.075252,-4.03508445807755e-05
16000000,33.600256,-4.09237797699878e-05
16000000,34.12526,-4.14967149592001e-05
16000000,34.650264,-4.20696501484125e-05
